4, 110892
5, 110885
6, 110895
7, 110901
8, 110898
20, 110945
21, 110954
22, 110950
23, 110970
24, 110974
25, 110957
26, 110958
30, 111004
41, 110815
43, 110816
46, 110784
47, 110791
51, 110799
52, 110798
64, 110833
65, 110830
70, 111008
72, 111049
73, 111052
78, 110993
79, 110984
89, 111056
90, 111058
106, 110967
107, 110966
109, 110972
110, 110979
113, 111013
114, 111012
121, 111036
122, 111032
127, 110810
128, 110806
142, 110792
143, 110786
144, 110822
145, 110818
146, 110844
147, 110847
152, 110820
153, 110819
156, 110730
157, 110725
165, 110720
166, 110717
170, 110796
171, 110793
174, 110721
177, 110732
189, 110937
193, 110934
194, 110869
195, 110863
196, 110856
197, 110879
198, 110880
199, 110881
205, 110960
206, 110956
211, 110999
212, 110995
215, 110994
216, 110985
217, 111007
218, 111006
224, 110836
225, 110842
233, 110795
234, 110794
238, 110805
239, 110812
246, 110927
247, 110928
257, 111113
258, 111111
269, 111206
270, 111208
272, 111199
273, 111196
276, 111115
277, 111114
278, 111118
281, 111104
283, 111105
288, 111134
289, 111140
293, 111152
294, 111150
298, 111151
299, 111148
312, 111325
313, 111323
334, 93478
335, 93479
350, 111070
351, 111072
357, 111065
358, 111064
362, 110943
363, 110944
366, 111021
367, 111020
373, 111029
374, 111028
378, 93339
382, 93341
389, 93463
390, 93458
398, 93413
399, 93417
421, 110638
422, 110635
427, 110619
428, 110621
432, 110734
433, 110693
434, 110697
452, 110630
453, 110625
461, 110648
462, 110647
464, 110653
477, 110762
478, 110760
486, 110763
487, 110768
488, 110764
490, 110753
491, 110758
492, 110752
502, 110859
503, 110862
517, 93162
518, 93161
522, 93150
530, 110548
533, 110558
535, 110546
536, 110550
537, 110556
538, 110552
554, 110492
555, 110491
556, 110444
557, 110447
560, 92895
561, 92892
564, 92952
565, 92953
577, 92945
582, 93034
583, 93036
593, 93068
594, 93064
595, 93061
596, 92997
597, 92992
598, 92989
600, 93017
601, 93021
613, 93045
614, 93040
619, 93020
620, 93016
621, 93015
631, 93231
632, 93232
635, 93204
636, 93202
637, 93198
643, 93278
644, 93275
655, 93151
657, 93130
658, 93131
665, 93245
666, 93240
669, 93194
670, 93192
675, 93352
676, 93356
678, 93292
681, 93294
685, 93312
686, 93311
688, 93373
689, 93372
697, 93368
